"ext_pois.N","ext_pois.theta"
11705.2170225214,0.841455407328538
12313.5147818084,0.845896910176453
13750.7752632582,0.862623385042599
13278.9053095231,0.8570679402572
13008.7734896855,0.858520660642477
13310.7689917845,0.861428724755271
14313.5506566311,0.866307564901962
13789.0456503737,0.864661191455806
14032.7871134674,0.864258285828661
13879.2064354676,0.860484769100891
14956.8982464682,0.872952573240112
13968.1459073204,0.86124913869484
12947.732061387,0.857100159414788
14482.9443570865,0.870380662435182
13950.390843755,0.865506954081093
12384.8302112083,0.851131156038341
13519.5453466242,0.863471773454967
13144.5321337298,0.860512166611813
13843.0171923856,0.866023402003034
13199.3727973869,0.861144185873827
13128.2151317807,0.859979278836601
13177.3605805292,0.852167294074057
13246.5903427185,0.853872498425299
12308.795463681,0.854449248242071
14361.9374306083,0.862659296543896
14262.5484609224,0.870235282875263
12818.0696619741,0.85291257642027
13957.2736988029,0.862062693167585
13225.917895289,0.854332067728659
14035.6061022296,0.86396483008968
13537.8762564685,0.857007050150197
13959.3770047262,0.870199394398186
14021.4607045045,0.865197363914097
13221.2610175578,0.853646920637644
14611.6157801532,0.868897530771807
12567.8886782939,0.855323200372774
13825.8203682418,0.862827009527001
13130.7938978093,0.849805629793603
12835.1907771463,0.857596666288404
13622.8128215906,0.862322057859703
12782.1541251652,0.850857279398232
13285.2979405774,0.860712262197777
13760.2699221568,0.862047226474235
13315.6568806155,0.854889347683529
14258.6586842556,0.864852295300391
12787.4411779378,0.854679784698761
12805.5938145568,0.851598209885926
12874.1924578618,0.85505491643437
14643.4121211794,0.869874425652456
12721.9786021957,0.854980129780754
12069.1011848215,0.846435088999758
13845.9877403093,0.863786849555578
14642.4418952603,0.873063950730791
14459.5396038597,0.869537163600779
12507.283967627,0.857318034855193
12204.2818165877,0.846579330432441
13770.3611141559,0.866819074172567
12713.9584650156,0.851220559675487
13417.3870890375,0.860883900262432
13567.0386203359,0.859002967620424
13464.3968043874,0.858050938962821
14849.8363435605,0.873978269940897
14557.9204461869,0.872060269573424
13057.7819800838,0.859391962887574
14515.1427201527,0.869372413598672
13244.5243203572,0.864793555636536
13227.5510497101,0.858458997377055
12938.5803167384,0.84942597664316
14152.3247798655,0.86636166504707
13936.6060651163,0.866723102954634
11996.4224338414,0.84459013588683
13866.5981548149,0.863941788737582
13055.4433981759,0.853348594548585
12692.1729085867,0.853032692105929
13116.5448652076,0.8562501777474
14032.4037602913,0.862869891979035
12672.1809967998,0.853153915852434
13906.077335472,0.862925008521207
14002.7610129828,0.861047049243655
15488.019416509,0.875281374684416
14067.3738638093,0.866729597955619
13099.1405121062,0.85640700481852
13683.2515302928,0.861909620157764
13325.0277757605,0.857329608792676
14702.4594781462,0.873933184327976
13134.85781699,0.857158975577002
12350.8959011868,0.848415799998558
14411.8951504188,0.870871568090652
14099.2172142925,0.866528704945094
12975.0430536357,0.851517969835093
13443.6423240219,0.861639143936736
12655.0725997932,0.855629165471463
12408.800213276,0.847479195961359
12638.0001278144,0.851961398987162
12413.2076019918,0.846048621835378
12203.731817406,0.845109664190169
13792.9964803264,0.861945022685535
13322.4398890087,0.862845764032787
14466.4326392949,0.869756361199803
11977.9806224042,0.838228231564014
13695.8719387118,0.864880809270939
13144.0602226573,0.857711615377097
13824.1176366038,0.863799638552881
14714.7508758406,0.871357415006315
14870.5043378545,0.868705271091242
14356.0214914189,0.867464273261791
13087.5531870809,0.857306183824551
14802.6587424661,0.870253041387758
11667.0494520992,0.842740572445643
13435.9716037544,0.860290788309627
14444.6107143921,0.868866235388789
13717.175235578,0.862120301916882
13954.5597641764,0.867500305093621
13235.2912504667,0.85688477388661
12701.4316761361,0.851216485419408
13377.0048892651,0.858906882605969
11406.5437145274,0.838679652828502
12471.3552702287,0.851286063169242
